Gene	s_log10_ci_low	s_log10_ci_high	s_log10_map	hs_log10_ci_low	hs_log10_ci_high	hs_log10_map	avg_hs_log10_ci_low	avg_hs_log10_ci_high	avg_hs_log10_map
MSL3	-1.15118388	-2.935e-05	-0.34447812	-1.70103212	-0.08178581	-0.69891115	-1.28654053	-0.05948144	-0.40778972
MSN	-0.98850066	-5.52e-06	-0.31686441	-1.50988543	-0.06845176	-0.6211981	-1.11427257	-0.05570248	-0.37204391
MST4	-1.05285144	-2.355e-05	-0.31487764	-1.59141712	-0.08024866	-0.71974583	-1.18950941	-0.06167177	-0.42943465
MTCP1	-4.11890042	-6.067e-05	-0.55067569	-4.74631015	-0.00983607	-1.01321645	-4.2591579	-0.00817368	-0.72188826
MTM1	-0.87046925	-3.58e-06	-0.18527474	-1.37407391	-0.05656494	-0.55651254	-0.98687972	-0.05005148	-0.38046808
MTMR1	-1.16739669	-0.0509786	-0.66985781	-1.74715033	-0.25456917	-0.9502361	-1.29353186	-0.21217813	-0.75124849
MTMR8	-5.91120132	-2.2070055	-3.87828427	-6.41047251	-2.38315243	-4.10635179	-6.05532674	-2.30706731	-3.47277125
MUM1L1	-1.1642075	-1.908e-05	-0.33117515	-1.72617309	-0.0780417	-0.73618065	-1.29763241	-0.05730737	-0.44805838
MXRA5	-1.23263086	-0.27303889	-0.76725966	-1.84882118	-0.54670105	-1.09496216	-1.31083005	-0.45988002	-0.92979452
NAA10	-1.63965242	-7.5e-07	-0.46642245	-2.24302981	-0.03259552	-0.88682032	-1.73647764	-0.00420573	-0.56747884
NAP1L2	-1.47778765	-1.53e-06	-0.37753813	-2.05173999	-0.05533585	-0.90422447	-1.59974325	-0.03146383	-0.56626879
NAP1L3	-1.59842715	-7.149e-05	-0.47405834	-2.19764691	-0.03322872	-0.83504362	-1.70321831	-0.01192543	-0.5614128
NDP	-5.32056404	-3.494e-05	-0.69975713	-5.89429234	-0.1548198	-1.11729378	-5.51946117	-0.0506543	-0.8298207
NDUFA1	-5.39827273	-7.74e-06	-0.7741031	-5.99523293	-0.1950664	-1.19298692	-5.62836618	-0.09426716	-0.9164223
NDUFB11	-2.73209903	-1.988e-05	-0.57784443	-3.54903417	-0.00423719	-0.94214784	-2.85038561	-0.0036344	-0.70909753
NGFRAP1	-5.06854882	-1.08e-06	-0.63251935	-5.55284742	-0.05753053	-1.04386946	-5.21459661	-0.00569707	-0.76519767
NHS	-0.81223367	-5.31e-06	-0.12188911	-1.30927974	-0.04989742	-0.56083282	-0.92778541	-0.04282468	-0.29982085
