Gene	log10_ci_low	log10_ci_high	log10_map
MED7	-1.46850436	-0.08815108	-0.74404742
MED8	-6.11443456	-1.97540249	-3.23581748
MED9	-6.17389434	-0.71924695	-1.62885518
MEDAG	-6.0711947	-2.06130912	-3.83911028
MEF2A	-1.23376708	-0.08377122	-0.58827801
MEF2B	-6.12981816	-2.20281052	-3.14596111
MEF2BNB	-4.20050793	-0.00961644	-0.86547309
MEF2BNB-MEF2B	-6.07775495	-2.17929088	-3.00343642
MEF2C	-5.50363042	-1.30734943	-1.88517201
MEF2D	-1.18419784	-0.08244383	-0.55231468
MEFV	-6.00909414	-1.8429142	-2.49350677
MEGF10	-2.07809062	-1.36122727	-1.67611117
MEGF11	-5.94313564	-1.98149398	-2.87900734
MEGF6	-5.64862209	-1.7866037	-3.01627664
MEGF8	-1.72232527	-1.25961237	-1.50186283
MEGF9	-1.35625198	-0.09932272	-0.65574991
MEGT1	-6.1056337	-2.17323073	-3.77725013
MEI1	-3.83170754	-1.5025805	-1.9671185
MEIG1	-6.19452107	-2.26977678	-3.96284306
MEIOB	-6.01094941	-1.74784282	-2.36266657
MEIS1	-1.30341953	-0.09511552	-0.59032208
MEIS2	-1.46813938	-0.30747192	-0.93194106
MEIS3	-5.95074521	-1.6438489	-2.40526756
MELK	-6.06969572	-2.04078686	-3.21448635
MEMO1	-1.25061367	-0.08988061	-0.58969662
MEN1	-1.13617312	-0.0805318	-0.57717645
MEOX1	-4.38233692	-0.4369942	-1.41246116
MEOX2	-1.53469065	-0.09170599	-0.72272179
MEP1A	-5.82706644	-1.54852397	-2.24001894
MEP1B	-6.05216945	-2.04060346	-3.27780621
MEPCE	-1.14376962	-0.08174742	-0.57355014
MEPE	-6.15066172	-1.88399314	-3.89888813
MERTK	-4.48195401	-1.32442729	-1.95761472
MESDC1	-3.55210659	-0.01188541	-0.84531248
MESDC2	-4.38567361	-0.00334512	-0.87436693
MESP2	-5.61740415	-0.58727738	-1.48243225
MEST	-1.71724246	-0.55832402	-1.18550341
MET	-1.72090113	-1.15198931	-1.43953953
METAP1	-2.40071054	-0.90077157	-1.51128145
METAP1D	-1.81821575	-0.32250964	-1.11178569
