gene,flag
LCE4A,mu_NA
LCE6A,mu_NA
LENG9,mu_NA
LINC00696,mu_NA
LINC01124,mu_NA
LSP1,mu_NA
LUZP6,mu_NA
LYPD8,mu_NA
MAGEA1,mu_NA
MAGEA10,mu_NA
MAGEA12,mu_NA
MAGEA3,mu_NA
MAGEA4,mu_NA
MAGEA6,mu_NA
MAGEA8,mu_NA
MAGEA9B,mu_NA
MAGEB1,mu_NA
MAGEB10,mu_NA
MAGEB17,mu_NA
MAGEB2,mu_NA
MAGEB4,mu_NA
MAGEB5,mu_NA
MAGEB6,mu_NA
MAGEC2,mu_NA
MAS1L,mu_NA
MBD3L1,mu_NA
MBD3L2,mu_NA
MGC10955,mu_NA
MRGPRD,mu_NA
MRGPRE,mu_NA
MRGPRG,mu_NA
MRGPRX1,mu_NA
MRGPRX2,mu_NA
MRGPRX3,mu_NA
MRGPRX4,mu_NA
MRPL36,mu_NA
MT1HL1,mu_NA
MTRNR2L2,mu_NA
MTRNR2L3,mu_NA
MTRNR2L6,mu_NA
MTRNR2L8,mu_NA
NAT8,mu_NA
NCBP2L,mu_NA
NHLRC4,mu_NA
NPAP1,mu_NA
NPIPA2,mu_NA
NPIPB5,mu_NA
OCLM,mu_NA
OR11H12,mu_NA
OR13C5,mu_NA
OR14A16,mu_NA
OR14A2,mu_NA
OR14C36,mu_NA
OR14I1,mu_NA
OR14K1,mu_NA
OR1M1,mu_NA
OR1N1,mu_NA
OR2AK2,mu_NA
OR2L2,mu_NA
OR2L3,mu_NA
OR2L5,mu_NA
OR2M2,mu_NA
OR2M3,mu_NA
OR2M5,mu_NA
OR2M7,mu_NA
OR2T12,mu_NA
OR2T3,mu_NA
OR2T34,mu_NA
